Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
	(0.01381)	(0.01397)	(0.01405)	(0.01380)	(0.01384)	(0.01379)	(0.01389)	(0.01375)	(0.01372)	(0.01412)	(0.01360)	(0.01379)	(0.01378)	(0.01394)	(0.01393)	(0.01397)	(0.01377)	(0.01385)	(0.01383)	(0.01379)	(0.01390)	(0.01385)	(0.01386)	(0.01381)	(0.01400)	(0.01388)	(0.01387)	(0.01402)	(0.01363)	(0.01394)	(0.01373)	(0.01385)	(0.01390)	(0.01389)	(0.01381)	(0.01397)	(0.01383)	(0.01381)	(0.01377)	(0.01391)	(0.01379)
L.import_share	0.00133**	0.00134**	0.00138**	0.00135**	0.00137**	0.00134**	0.00133**	0.00131**	0.00129**	0.00139**	0.00244***	0.00192***	0.00131**	0.00132**	0.00128**	0.00127**	0.00133**	0.00139**	0.00133**	0.00134**	0.00134**	0.00133**	0.00132**	0.00136**	0.00129**	0.00132**	0.00149**	0.00138**	0.00149**	0.00138**	0.00134**	0.00139**	0.00139**	0.00134**	0.00139**	0.00134**	0.00131**	0.00136**	0.00135**	0.00136**	0.00135**
	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00058)	(0.00059)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00060)
L.service_share	-0.00302***	-0.00300**	-0.00282**	-0.00295**	-0.00295**	-0.00299**	-0.00297**	-0.00290**	-0.00294**	-0.00293**	-0.00168	-0.00221*	-0.00297**	-0.00298**	-0.00294**	-0.00289**	-0.00287**	-0.00305***	-0.00301***	-0.00305***	-0.00309***	-0.00300**	-0.00298**	-0.00302***	-0.00256**	-0.00295**	-0.00312***	-0.00304***	-0.00304***	-0.00305***	-0.00298**	-0.00305***	-0.00305***	-0.00301***	-0.00301***	-0.00295**	-0.00302***	-0.00302***	-0.00303***	-0.00304***	-0.00302***
	(0.00116)	(0.00117)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00114)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00115)	(0.00117)	(0.00116)	(0.00117)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)
L.dtemp	-0.01614**	-0.01541**	-0.01510**	-0.01591**	-0.01527**	-0.01621**	-0.01690**	-0.01610**	-0.01538**	-0.01605**	-0.01271*	-0.01295*	-0.01668**	-0.01617**	-0.01605**	-0.01619**	-0.01536**	-0.01608**	-0.01592**	-0.01624**	-0.01640**	-0.01610**	-0.01597**	-0.01581**	-0.01627**	-0.01560**	-0.01561**	-0.01578**	-0.01561**	-0.01609**	-0.01630**	-0.01629**	-0.01610**	-0.01570**	-0.01669**	-0.01591**	-0.01510**	-0.01599**	-0.01581**	-0.01642**	-0.01609**
	(0.00712)	(0.00709)	(0.00706)	(0.00708)	(0.00706)	(0.00711)	(0.00709)	(0.00703)	(0.00709)	(0.00704)	(0.00668)	(0.00693)	(0.00710)	(0.00709)	(0.00709)	(0.00709)	(0.00706)	(0.00711)	(0.00712)	(0.00713)	(0.00711)	(0.00709)	(0.00711)	(0.00711)	(0.00690)	(0.00708)	(0.00712)	(0.00709)	(0.00707)	(0.00713)	(0.00710)	(0.00711)	(0.00712)	(0.00711)	(0.00712)	(0.00712)	(0.00707)	(0.00711)	(0.00711)	(0.00713)	(0.00711)
L.federal2	-0.01456	-0.00479	-0.00646	-0.01653	-0.01926	-0.01490	-0.01785	-0.02270	-0.01892	0.01381	0.02033	-0.00911	-0.01709	-0.01295	-0.00971	-0.02349	0.00779	-0.01105	-0.01497	-0.01506	-0.01613	-0.01797	-0.01560	-0.01285	-0.02132	-0.01552	-0.00559	-0.00898	-0.01007	-0.01105	-0.01532	-0.01230	-0.01059	-0.01381	-0.01296	-0.01636	-0.01801	-0.01402	-0.01319	-0.01328	-0.01387
	(0.04446)	(0.04300)	(0.04601)	(0.04466)	(0.04493)	(0.04453)	(0.04485)	(0.04522)	(0.04469)	(0.04106)	(0.03483)	(0.03763)	(0.04481)	(0.04480)	(0.04225)	(0.04543)	(0.04201)	(0.04408)	(0.04456)	(0.04458)	(0.04468)	(0.04482)	(0.04453)	(0.04446)	(0.04344)	(0.04467)	(0.04343)	(0.04318)	(0.04367)	(0.04411)	(0.04445)	(0.04427)	(0.04406)	(0.04433)	(0.04419)	(0.04482)	(0.04469)	(0.04439)	(0.04432)	(0.04435)	(0.04451)
L.rle1	-0.68170***	-0.67381***	-0.66204***	-0.68104***	-0.66635***	-0.68390***	-0.67167***	-0.65080***	-0.72292***	-0.66739***	-0.50155***	-0.54787***	-0.68202***	-0.67102***	-0.65401***	-0.67157***	-0.69247***	-0.69612***	-0.67772***	-0.68734***	-0.69991***	-0.68228***	-0.67795***	-0.68725***	-0.67946***	-0.68511***	-0.69247***	-0.69676***	-0.69816***	-0.69582***	-0.68683***	-0.69086***	-0.69814***	-0.68386***	-0.69017***	-0.68869***	-0.68008***	-0.68762***	-0.69015***	-0.68870***	-0.67970***
