Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
lnco2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L.P_Adviceoraidinimplementa_Y3R	0.00202																																								
	(0.00171)																																								
	0.23779																																								
L.P_Adviceoraidinimplementa_CmY3R	-0.00373***																																								
	(0.00068)																																								
	0.00000																																								
	(0.25657)	(0.25862)	(0.26105)	(0.25627)	(0.25757)	(0.25604)	(0.25876)	(0.25597)	(0.25421)	(0.26196)	(0.25555)	(0.25747)	(0.25615)	(0.25929)	(0.25960)	(0.26048)	(0.25617)	(0.25610)	(0.25707)	(0.25600)	(0.25743)	(0.25742)	(0.25694)	(0.25645)	(0.26160)	(0.25724)	(0.25597)	(0.25850)	(0.25273)	(0.25674)	(0.25480)	(0.25631)	(0.25776)	(0.25832)	(0.25508)	(0.25819)	(0.25657)	(0.25667)	(0.25551)	(0.25790)	(0.25630)
	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00044	0.00005	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
cL.lngdp#cL.lngdp	-0.10290***	-0.10210***	-0.09563***	-0.10214***	-0.09977***	-0.10275***	-0.10130***	-0.10034***	-0.10264***	-0.09777***	-0.07074***	-0.07719***	-0.10203***	-0.10421***	-0.10010***	-0.09833***	-0.10206***	-0.10514***	-0.10256***	-0.10330***	-0.10279***	-0.10196***	-0.10256***	-0.10335***	-0.09023***	-0.10259***	-0.10484***	-0.10376***	-0.10470***	-0.10498***	-0.10299***	-0.10465***	-0.10528***	-0.10322***	-0.10331***	-0.10264***	-0.10129***	-0.10315***	-0.10362***	-0.10344***	-0.10323***
	(0.01381)	(0.01397)	(0.01405)	(0.01380)	(0.01384)	(0.01379)	(0.01389)	(0.01375)	(0.01372)	(0.01412)	(0.01360)	(0.01379)	(0.01378)	(0.01394)	(0.01393)	(0.01397)	(0.01377)	(0.01385)	(0.01383)	(0.01379)	(0.01390)	(0.01385)	(0.01386)	(0.01381)	(0.01400)	(0.01388)	(0.01387)	(0.01402)	(0.01363)	(0.01394)	(0.01373)	(0.01385)	(0.01390)	(0.01389)	(0.01381)	(0.01397)	(0.01383)	(0.01381)	(0.01377)	(0.01391)	(0.01379)
	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
L.import_share	0.00133**	0.00134**	0.00138**	0.00135**	0.00137**	0.00134**	0.00133**	0.00131**	0.00129**	0.00139**	0.00244***	0.00192***	0.00131**	0.00132**	0.00128**	0.00127**	0.00133**	0.00139**	0.00133**	0.00134**	0.00134**	0.00133**	0.00132**	0.00136**	0.00129**	0.00132**	0.00149**	0.00138**	0.00149**	0.00138**	0.00134**	0.00139**	0.00139**	0.00134**	0.00139**	0.00134**	0.00131**	0.00136**	0.00135**	0.00136**	0.00135**
	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00058)	(0.00059)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00060)	(0.00060)	(0.00061)	(0.00060)	(0.00061)	(0.00061)	(0.00060)	(0.00060)	(0.00061)	(0.00060)
	0.02743	0.02673	0.02274	0.02528	0.02317	0.02710	0.02796	0.02871	0.03290	0.02152	0.00003	0.00112	0.03009	0.02705	0.03457	0.03635	0.02747	0.02104	0.02789	0.02677	0.02732	0.02757	0.03007	0.02495	0.03244	0.03012	0.01477	0.02235	0.01333	0.02298	0.02657	0.02187	0.02181	0.02684	0.02158	0.02748	0.03010	0.02433	0.02575	0.02495	0.02530
L.service_share	-0.00302***	-0.00300**	-0.00282**	-0.00295**	-0.00295**	-0.00299**	-0.00297**	-0.00290**	-0.00294**	-0.00293**	-0.00168	-0.00221*	-0.00297**	-0.00298**	-0.00294**	-0.00289**	-0.00287**	-0.00305***	-0.00301***	-0.00305***	-0.00309***	-0.00300**	-0.00298**	-0.00302***	-0.00256**	-0.00295**	-0.00312***	-0.00304***	-0.00304***	-0.00305***	-0.00298**	-0.00305***	-0.00305***	-0.00301***	-0.00301***	-0.00295**	-0.00302***	-0.00302***	-0.00303***	-0.00304***	-0.00302***
	(0.00116)	(0.00117)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00114)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00115)	(0.00117)	(0.00116)	(0.00117)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)	(0.00116)	(0.00116)	(0.00117)	(0.00116)
