Source,Target,Weight,Type
11,18,0.023863863584731554,Undirected
11,20,0.026291354360723555,Undirected
11,33,0.023146319519875364,Undirected
11,44,0.018419591175454525,Undirected
12,13,0.01863099831935199,Undirected
12,14,0.04662070649352524,Undirected
12,20,0.021549893150011525,Undirected
12,24,0.02217990342990343,Undirected
12,29,0.03434076082586145,Undirected
12,31,0.019776476753220938,Undirected
12,32,0.027560606060606063,Undirected
12,33,0.02597455497006203,Undirected
12,34,0.01906030572298515,Undirected
12,43,0.016921851296851295,Undirected
12,44,0.026585543773897446,Undirected
14,20,0.01983617888662921,Undirected
14,24,0.021257255432537387,Undirected
14,29,0.048478570851389596,Undirected
14,31,0.027000572640107526,Undirected
14,32,0.029698162948162948,Undirected
14,43,0.023333952975765838,Undirected
15,16,0.0174901185770751,Undirected
15,18,0.01810211508246849,Undirected
15,27,0.02129995608256478,Undirected
15,35,0.02588626030122194,Undirected
15,38,0.02156862745098039,Undirected
15,39,0.018403601229688187,Undirected
15,46,0.01751207729468599,Undirected
15,52,0.017133289415898114,Undirected
16,19,0.020729526228247457,Undirected
16,23,0.01694940309603566,Undirected
17,18,0.018498246074911233,Undirected
17,19,0.020188875364142406,Undirected
17,21,0.01753706128453739,Undirected
17,23,0.02021259921268895,Undirected
17,25,0.01735212695091212,Undirected
18,19,0.017784251128240895,Undirected
18,20,0.02057054004397458,Undirected
18,23,0.023023850123355068,Undirected
18,29,0.01915688034146945,Undirected
18,37,0.01984727922032894,Undirected
19,27,0.01689656099593988,Undirected
19,35,0.020173571100681076,Undirected
19,38,0.01697224344283168,Undirected
19,39,0.017937400763487717,Undirected
19,45,0.019218643675165414,Undirected
20,23,0.01939079124987444,Undirected
20,24,0.023845763154973682,Undirected
20,25,0.01946723948621482,Undirected
20,26,0.022705682828772812,Undirected
20,28,0.02440835571765363,Undirected
20,29,0.02292399336129986,Undirected
20,30,0.019806879123517494,Undirected
20,44,0.02796323599911289,Undirected
21,26,0.01746577152923902,Undirected
21,36,0.02153540663152081,Undirected
21,51,0.019652290756623895,Undirected
22,26,0.020992248492248494,Undirected
22,27,0.018007964575470298,Undirected
22,37,0.023910926030491247,Undirected
22,39,0.01864241784150251,Undirected
22,45,0.019623625802115505,Undirected
22,46,0.019718972865425954,Undirected
22,52,0.02377035626463544,Undirected
23,26,0.022923861197855003,Undirected
23,29,0.017522925523497608,Undirected
23,30,0.024031025962753846,Undirected
23,36,0.022980195073213274,Undirected
23,37,0.020555385137129352,Undirected
23,39,0.01864280773061677,Undirected
23,44,0.01878734865826391,Undirected
23,47,0.019915401330950006,Undirected
24,26,0.024564132870053924,Undirected
24,29,0.029519907812836827,Undirected
24,30,0.027869474912403925,Undirected
24,31,0.03649210709744225,Undirected
24,32,0.04577557573145809,Undirected
24,33,0.018001053859772347,Undirected
24,34,0.03159852439598429,Undirected
24,44,0.0241301091194667,Undirected
25,26,0.0190260801290213,Undirected
25,28,0.021136941081794022,Undirected
25,29,0.01701462566632004,Undirected
25,30,0.025640154403251507,Undirected
25,36,0.023268735499574537,Undirected
25,37,0.0194592243505287,Undirected
25,42,0.021018388225869045,Undirected
25,47,0.019896861716714658,Undirected
25,51,0.021669177387687616,Undirected
26,30,0.026378156781132908,Undirected
26,37,0.01879573785920535,Undirected
26,42,0.020169780483247975,Undirected
26,43,0.01907491751295501,Undirected
26,51,0.021844801368795175,Undirected
27,35,0.016968599033816426,Undirected
27,46,0.03095461301983041,Undirected
27,52,0.024709046991655687,Undirected
28,36,0.019926099622494305,Undirected
28,51,0.01776300051701121,Undirected
29,30,0.02775659203328641,Undirected
29,32,0.017835932041814394,Undirected
29,33,0.025358930358741583,Undirected
29,36,0.01949353493084143,Undirected
29,43,0.02133438210364595,Undirected
29,44,0.026361422123217116,Undirected
30,36,0.02484462617289942,Undirected
30,42,0.021168478729898885,Undirected
30,51,0.020805830098749305,Undirected
31,33,0.040271279994262214,Undirected
32,33,0.033038923494805854,Undirected
32,34,0.10328592649180884,Undirected
32,43,0.0952951792821074,Undirected
33,43,0.02123681208648529,Undirected
33,44,0.024599594843308502,Undirected
34,43,0.08061827424572522,Undirected
35,46,0.024559692151225332,Undirected
36,37,0.02420806271474316,Undirected
36,39,0.017506160524475844,Undirected
36,42,0.019513919790299625,Undirected
36,43,0.017894894636380703,Undirected
36,44,0.02035850539310747,Undirected
36,47,0.025085932244126592,Undirected
36,51,0.019501384194022895,Undirected
37,42,0.019030687804664787,Undirected
37,47,0.026074470452460884,Undirected
37,51,0.021730560080882526,Undirected
38,45,0.01952214452214452,Undirected
38,46,0.018274853801169593,Undirected
39,42,0.01694978259875958,Undirected
39,45,0.018273110805080112,Undirected
39,51,0.017577639557992967,Undirected
39,52,0.01852563605760537,Undirected
42,51,0.025107252461585596,Undirected
43,44,0.018397179207292728,Undirected
44,47,0.019404395913683842,Undirected
45,52,0.025627577550654475,Undirected
45,53,0.016850847034793524,Undirected
47,51,0.02299625410552796,Undirected
51,52,0.018432550900520404,Undirected
